"AGEFSTM" "INCOMED" "TAU" "VAR"
"1" 18 0 0.12724175641985 0.00707627869142686
"2" 20 0 0.0738697877460269 0.00657746111651816
"3" 22 0 0.0690861024591404 0.00682469348781281
"4" 24 0 0.0445071542808006 0.00648550016219748
"5" 18 6308.01652977 0.196389469162364 0.00513235870223588
"6" 20 6308.01652977 0.151521020331256 0.00481863635461254
"7" 22 6308.01652977 0.146395964406375 0.00544816099647362
"8" 24 6308.01652977 0.110604532897783 0.00579224937561303
"9" 18 14200.90909281 0.204537184317666 0.00479814209729631
"10" 20 14200.90909281 0.173189304579838 0.00454999662732188
"11" 22 14200.90909281 0.174970187488867 0.00528101337669333
"12" 24 14200.90909281 0.137494971058263 0.00580539714389168
"13" 18 18567.19008513 0.172174755200647 0.00414278752865945
"14" 20 18567.19008513 0.139627311855327 0.00413455635107577
"15" 22 18567.19008513 0.155496404171043 0.00493457281340359
"16" 24 18567.19008513 0.120980209311624 0.0055465070885378
"17" 18 21002.23140777 0.15815502682402 0.00394409767697409
"18" 20 21002.23140777 0.131945968452332 0.00410396917458427
"19" 22 21002.23140777 0.158970889056115 0.00490671459508937
"20" 24 21002.23140777 0.124810526124144 0.0055859273774408
"21" 18 24675.78512727 0.172908719343331 0.00321709393687751
"22" 20 24675.78512727 0.157805060298363 0.00342209941667279
"23" 22 24675.78512727 0.187668495467987 0.00426270984211433
"24" 24 24675.78512727 0.143599985320307 0.00517701800189903
"25" 18 27089.83471437 0.185393402201514 0.00261041219975213
"26" 20 27089.83471437 0.17381421853234 0.00276479396048421
"27" 22 27089.83471437 0.199080813308069 0.00348576094528485
"28" 24 27089.83471437 0.144737071296607 0.00452076726658002
"29" 18 29398.92562377 0.186807872191331 0.00230798509573623
"30" 20 29398.92562377 0.180706823695182 0.00241086877473238
"31" 22 29398.92562377 0.19603264319545 0.00301496297606413
"32" 24 29398.92562377 0.132490708499493 0.00411986614401968
"33" 18 31498.09917777 0.178814666718674 0.00221154994014381
"34" 20 31498.09917777 0.181115234733289 0.00248129740796204
"35" 22 31498.09917777 0.190864526376117 0.0030228816534937
"36" 24 31498.09917777 0.117821927684322 0.00427174536884017
"37" 18 33597.27273177 0.185611462568186 0.00212548603013289
"38" 20 33597.27273177 0.187980442293875 0.00223377960864579
"39" 22 33597.27273177 0.185867083559665 0.00267906538343174
"40" 24 33597.27273177 0.109747111767953 0.00389059089108662
"41" 18 36179.25620319 0.169878495007678 0.00218874571064894
"42" 20 36179.25620319 0.168400497010678 0.00234088158878527
"43" 22 36179.25620319 0.162703225245804 0.00250577371320902
"44" 24 36179.25620319 0.0920825756383502 0.00365983029540366
"45" 18 38215.45455057 0.142207595413423 0.00245574540960004
"46" 20 38215.45455057 0.14512175157134 0.00277438647682897
"47" 22 38215.45455057 0.139065782035752 0.00284798748536887
"48" 24 38215.45455057 0.0744285888569011 0.00371528264790632
"49" 18 41259.25620387 0.151323484190269 0.00220618960325619
"50" 20 41259.25620387 0.168784912102554 0.00233522872480615
"51" 22 41259.25620387 0.15937914351447 0.00268938572013824
"52" 24 41259.25620387 0.0910528915277055 0.00364662823493941
"53" 18 42602.72727843 0.17776723936554 0.0022731602913752
"54" 20 42602.72727843 0.203537711093062 0.00237052174845319
"55" 22 42602.72727843 0.196523093919604 0.00276672547656408
"56" 24 42602.72727843 0.122882654056206 0.00370178739457636
"57" 18 46192.31405577 0.165599769274241 0.00236121987108134
"58" 20 46192.31405577 0.192604152674923 0.00248101032194879
"59" 22 46192.31405577 0.192055780078734 0.0025882648032507
"60" 24 46192.31405577 0.125237104662117 0.00326162803539835
"61" 18 49341.07438677 0.159743297856401 0.00232365912894183
"62" 20 49341.07438677 0.180723455366081 0.00251327035842766
"63" 22 49341.07438677 0.174211296992017 0.00240685400588255
"64" 24 49341.07438677 0.111649142398094 0.00294515626446874
"65" 18 52489.83471777 0.15996598361445 0.00223506835138553
"66" 20 52489.83471777 0.172071850875097 0.0024218120824081
"67" 22 52489.83471777 0.156901177350506 0.00237113150249817
"68" 24 52489.83471777 0.0981032109607325 0.00309841332712349
"69" 18 58787.35537977 0.135904699959684 0.00230399554936859
"70" 20 58787.35537977 0.131179901102852 0.00232392236266672
"71" 22 58787.35537977 0.111038606097364 0.00237268649620867
"72" 24 58787.35537977 0.0647731671609337 0.00293637274397872
"73" 18 67184.04959577 0.0948339893782353 0.00324901667958147
"74" 20 67184.04959577 0.0844834655216187 0.00340192001666605
"75" 22 67184.04959577 0.0670110316942995 0.00325720699008762
"76" 24 67184.04959577 0.0298795658227936 0.00370246873814197
"77" 18 96572.47935177 0.0766394255423393 0.00412329959896717
"78" 20 96572.47935177 0.0655747381057092 0.0044358451121772
"79" 22 96572.47935177 0.0513258018502975 0.00442074343700656
"80" 24 96572.47935177 0.0182717150285604 0.00475521419235386
