"outcome","treatment","X1","X2","X3","X4","X5","X6","X7","X8","X9"
1,1,-0.32,1.57,0.76,1.13,-0.63,1,0,1,0
0,1,0.13,2.2,0.25,-0.46,0.56,1,1,0,1
1,1,0.96,-0.62,0.08,-1.65,-0.97,0,0,0,0
1,1,0.16,1.4,0.49,-0.9,-0.47,0,1,1,1
1,1,0,1.93,0.08,-1.2,0.32,1,1,1,1
1,1,0.51,0.57,0.71,1.54,1.21,1,0,0,0
1,1,1.34,-0.39,1.15,1.17,-0.19,1,0,1,1
1,0,0.67,-0.33,0.12,1.84,0.15,1,0,1,1
1,1,-0.38,0.91,-0.96,-0.15,-0.92,0,0,0,1
1,0,0.2,0.98,-0.85,1.96,-1.78,0,1,0,0
1,1,-0.67,-0.26,0.25,-0.68,0.76,1,0,0,1
1,1,-0.45,0.03,0.38,0.16,0.78,0,1,1,0
1,0,-0.51,-0.92,-0.22,0.71,-0.24,0,0,0,0
0,0,-0.64,-0.23,1.5,0.01,0.73,0,1,1,0
1,0,0.33,-0.15,0.18,0.35,-0.15,0,1,0,1
0,0,0.98,-0.8,0.42,-1.01,-0.44,0,1,0,1
1,0,1.03,0.14,1.23,0.34,-0.14,1,0,1,1
1,0,-0.41,0.65,-0.34,-0.39,0.09,0,0,0,1
0,0,-0.34,-1.28,1.43,-1.11,0.3,1,0,0,1
1,0,-0.21,-0.87,-0.9,-1.63,1.64,0,1,0,0
1,0,-1.24,0.8,-0.83,0.42,0.27,1,0,1,1
0,0,-0.43,0.14,-0.63,0.61,0.74,0,0,0,0
1,0,1.84,-1.31,1.08,-1.66,-0.8,0,1,0,0
1,1,-0.28,1.86,-0.95,0.07,-1.53,0,0,0,0
0,0,-2.23,0.49,-0.15,-0.68,0.49,0,0,0,0
1,0,-0.13,-0.78,-0.01,0.66,0.45,0,1,0,0
1,1,1.4,1.12,-0.32,0.15,1.26,0,0,1,1
1,1,0.81,2.36,-0.57,-0.76,-0.39,0,0,1,1
0,1,-0.95,0.87,-0.83,1.79,-0.88,0,1,0,0
1,0,-0.16,0.17,-0.46,-0.23,0.15,0,1,1,1
1,0,-0.72,-0.07,0.51,-0.62,0.78,1,1,0,0
0,0,0.03,-0.17,-0.09,0.81,-0.47,0,1,1,1
1,0,0.1,-2.85,-1.64,0.32,-1.4,1,1,1,0
0,0,-0.43,-0.65,1.2,-0.16,0.35,1,0,1,1
1,1,0.25,2.11,0.8,0.16,0.57,1,1,1,0
0,0,0.71,-1.39,-0.71,0.73,-0.38,1,0,0,1
1,0,0.52,0.56,-1.11,-1.98,-1.56,0,1,1,1
1,0,-0.71,-1.48,-1.12,-1.46,-0.24,1,0,0,1
1,0,0.22,0.63,0.64,0.31,-0.45,0,1,0,1
1,1,-0.07,0.77,0.9,-0.2,-0.22,0,0,1,1
1,0,-0.08,-1.21,-1.1,1.22,-0.46,1,1,0,0
1,1,-0.11,0.13,0.53,0.86,-0.02,1,1,1,1
0,0,-0.32,-2.33,0.75,-1.17,-0.51,1,0,0,0
1,0,-0.06,-0.83,-0.1,-0.72,-0.43,1,0,0,0
1,1,-1.01,0.93,0.72,0.26,0.7,1,0,1,1
0,0,-0.29,0.38,0.05,0.18,-2.69,1,0,1,0
1,0,-0.53,0.31,1.51,-1.7,-0.82,0,1,1,0
1,0,-0.63,-1.45,-0.73,-1.5,0.81,1,1,0,1
1,0,-0.53,-1.11,-0.68,0.42,-2.06,0,0,0,1
1,0,-0.51,0.45,-1.76,0.61,1.39,1,1,0,1
1,1,1.44,-1.44,-0.52,0.24,-0.74,0,0,1,1
1,1,0.68,0.82,2.41,1.11,-0.27,0,0,0,1
1,0,-1.33,-1.69,0.24,1.45,0.28,0,1,0,1
1,0,0.5,-0.46,-0.64,-0.31,0.53,1,1,0,1
1,1,0.99,-0.82,1.28,0.65,0.68,1,1,0,0
1,0,0.84,0.56,-0.35,1.97,-0.27,1,0,1,1
1,1,2.02,-0.62,0.4,0.54,-1.88,1,1,1,0
1,0,-0.47,-0.46,0.44,1.74,-0.79,1,0,1,1
1,0,-2.11,-0.17,-0.93,-1.29,1.1,0,1,1,0
1,0,0.15,-1.55,-0.94,1.49,-1.46,0,1,0,0
1,1,-0.06,-2.26,-0.19,0.59,-1.39,1,1,1,0
1,1,0.8,2.99,0.12,0.78,-0.57,1,0,1,0
1,0,1.51,1.09,-2.13,-0.67,0.15,0,0,1,0
1,0,-0.5,0.03,-0.56,0.74,-0.53,0,0,0,0
1,0,1.27,0.35,1.13,0.61,-0.42,1,0,0,0
1,1,0.52,1.29,-0.52,-0.62,0.49,0,1,1,1
0,0,-1.49,0.3,0.77,-0.5,-0.04,1,0,1,0
1,1,-0.49,0.07,0.44,0.36,-0.9,1,0,1,0
1,1,0.32,-0.44,1.54,1.48,0.21,1,0,0,0
1,1,0.97,1.44,-0.95,0.3,1.15,1,1,1,1
0,1,0.95,0.12,-0.3,0.95,0.47,0,0,0,0
1,0,-0.35,-0.9,-1.19,0.03,2.21,0,1,0,0
1,0,-1.36,-0.8,-3.1,0.98,-1.67,0,0,1,1
1,1,0.1,-0.25,-0.46,-0.57,-0.37,0,1,0,1
1,0,-0.55,-2.25,-0.7,-0.05,-2.31,1,1,0,0
1,1,0.87,0.66,-1.98,-0.23,0.64,1,1,1,1
1,0,0.66,-0.15,-0.24,0.18,0.61,1,1,0,1
1,0,-1.4,-0.42,-0.82,0.46,0.98,1,0,1,0
1,1,0.89,-0.36,-0.65,-0.29,-0.04,0,1,0,0
0,0,-1.24,-1.6,0.36,-0.95,-0.47,1,1,1,1
1,1,-0.85,0.54,1.08,-0.54,-0.63,0,1,0,0
1,1,0,-1.31,0.32,-0.84,-1.33,0,1,1,0
1,0,-1.41,0.1,1.08,0.36,0.18,0,1,0,0
1,1,1.57,1.62,0.25,-1.31,1.46,0,0,1,1
1,0,-0.06,-0.82,0.32,-0.94,-1.7,0,1,1,0
1,0,-0.99,0.68,-0.33,-1.48,-0.02,1,0,1,0
1,0,0.55,-0.1,-0.88,0.17,1.06,0,0,0,1
1,0,-0.77,-0.42,1.43,-1.24,-0.09,0,1,0,0
1,0,-0.23,0.7,0.34,1.16,1.37,0,0,0,1
1,0,-0.19,-0.27,1.44,0.55,0.76,0,1,0,0
1,1,1.37,0.13,-1.97,0.27,0.34,1,0,1,1
1,1,1,0.02,-1.34,0.22,0.25,1,0,1,1
1,1,0.01,0.8,-0.94,0.63,-0.22,0,0,1,0
1,1,-0.93,0.9,-0.04,-0.3,0.72,0,0,0,0
1,0,-0.22,0.44,-0.52,0.65,-0.37,0,0,0,1
0,1,-0.64,-1.01,-0.95,-1.45,1.64,1,1,0,0
1,1,1.18,-0.86,-0.8,-0.36,-2.66,1,1,0,1
0,0,-0.6,-0.35,-0.62,-0.03,1.99,1,0,1,1
1,1,0.08,0.33,-0.26,0.12,-0.77,0,1,1,0
1,1,-0.27,1.88,-0.78,0.15,-0.61,1,1,0,1
1,0,-0.22,0.28,0.45,0.51,0.38,1,0,0,1
1,1,0.18,-1.1,1.63,0.9,-1.13,1,0,1,0
1,0,-0.28,-0.96,0.8,-0.07,0.79,1,1,0,0
1,1,-0.66,-0.37,0.87,-1.08,-0.87,1,1,1,0
1,0,-0.76,-1.33,0.78,-0.59,0.81,1,1,0,1
1,1,0.99,-1.12,0.67,0.73,-0.84,1,1,1,1
1,1,1.25,0.95,-0.66,0.08,0.28,1,1,1,1
1,0,-1.18,1.14,-0.1,-0.36,-1.39,1,0,0,1
1,1,1.84,-0.77,-0.46,-0.81,-0.79,1,1,0,0
0,1,-0.86,0.34,0.07,0.14,-0.32,1,1,0,0
1,1,1.7,0.4,-1.21,-0.72,-0.49,1,0,1,1
0,1,0.21,-1.46,0.89,0.78,0.04,0,0,1,0
0,0,-1.72,0.63,-0.79,0,0.4,0,0,0,1
1,0,-0.28,0,-0.27,-1.24,-1.35,1,1,0,0
1,1,-1.24,1.86,-1.01,0.51,-0.42,0,0,1,1
1,0,0.31,0.1,2.98,0.02,0.1,1,1,0,0
0,0,0.33,-0.49,-0.42,-0.78,-0.74,1,0,1,0
1,1,-0.61,0.24,0.32,-0.48,-0.4,1,1,1,1
0,0,0.12,-1.27,-0.47,-1.11,-2,0,1,1,1
1,1,0.78,0.75,0.99,-0.12,0.85,0,1,1,0
1,1,-0.63,2.17,0.84,0.84,-0.87,1,1,1,0
1,1,0.13,0.5,0.98,-0.43,0.08,0,0,0,1
1,1,1.52,0.5,-0.03,0.64,-0.44,0,1,1,0
0,1,-0.46,2.44,-0.58,0.77,0.25,1,0,1,1
0,1,-1.26,0.42,-0.83,-0.49,-0.72,1,1,1,0
0,0,0.71,-0.93,0.86,0.63,0.26,1,0,0,0
1,0,0.34,-1.73,0.54,-0.31,-1.19,0,1,1,1
1,1,1.37,0.92,0.47,0.02,-0.16,1,0,1,1
1,0,0.7,-0.3,-0.56,0.08,-0.85,0,0,1,1
1,1,-0.48,0.67,0.34,-0.34,-1.28,1,0,0,0
0,0,0.07,-0.56,-1.04,0.6,-0.03,1,1,1,0
1,0,0.29,0.52,2.8,0.65,-1.55,1,0,1,1
1,1,2.82,0.02,-2.59,-1.01,0.81,1,1,1,0
1,0,-1.49,-1.39,-0.41,-0.97,-0.49,0,1,1,1
1,1,0.97,1.42,0.61,0.99,-1.33,0,1,1,0
1,1,0.72,-1.95,-0.48,-1.32,-1.63,0,0,1,1
1,0,-0.8,0.5,0.56,0.15,-0.94,1,1,1,1
1,1,0.84,0.34,0.73,0.45,-3.25,0,0,1,1
1,0,-1.57,-0.36,-0.37,0.57,0.89,0,1,0,0
1,0,0.76,-1.01,0.97,-0.41,-1.16,0,0,1,0
1,1,1.07,-0.98,-0.86,0.58,-0.29,0,1,0,0
1,0,0.2,0.93,-0.27,-0.91,0.45,0,1,1,0
1,1,0.14,-0.26,-1.43,-0.78,1.07,1,0,1,0
1,0,-1.23,0.09,-0.71,0.13,1.79,1,0,1,1
1,0,-2.32,-0.96,1.57,0.11,0.51,1,0,1,0
0,1,0.26,0.3,-0.58,-0.46,-0.45,0,0,1,0
1,1,0.51,0.53,-2.52,-0.62,-0.6,1,0,0,1
1,1,0.29,-1.14,0.35,0.52,0.72,0,1,1,1
1,0,0,-1.57,0.83,0.5,0.92,0,1,1,1
0,0,-0.38,-0.03,0.26,0.52,-0.5,0,1,1,1
0,0,-1.08,-0.42,-0.59,-0.89,1.44,0,0,1,0
1,1,-0.02,2.08,0.98,1.8,0.09,1,1,0,1
1,1,1.8,-0.84,0.04,-0.26,-1.22,1,0,0,1
1,1,-0.08,-0.22,-0.01,0.04,0.24,1,0,1,0
1,0,1.1,-0.01,-1.25,0.74,-0.59,1,0,1,1
1,0,0.92,-0.82,-1.72,-1.02,-0.68,0,0,1,1
1,0,-0.88,-1.45,-0.95,-0.71,-1.32,0,1,0,0
1,1,0.38,-0.27,-1.05,-0.92,0.24,1,0,1,1
1,0,-0.59,-0.98,-1.25,1.34,-1.04,0,1,0,0
1,0,0.67,-1.42,-0.24,0.01,1.42,0,0,0,1
0,0,-0.06,-0.02,-1.68,-1.37,-1.58,0,0,1,0
