"AGEFSTM" "EDUCM" "INCOMED" "TAU"
"1" 16 12 0 -0.16860494343154
"2" 18 12 0 -0.159574785655977
"3" 19 12 0 -0.114822953027656
"4" 20 12 0 -0.116729468391066
"5" 21 12 0 -0.129009750048162
"6" 22 12 0 -0.127247937334811
"7" 24 12 0 -0.0681938357809133
"8" 26 12 0 -0.0957727544756892
"9" 16 12 6308.01652977 -0.273443738894701
"10" 18 12 6308.01652977 -0.267174705932567
"11" 19 12 6308.01652977 -0.242363940979365
"12" 20 12 6308.01652977 -0.278251248907961
"13" 21 12 6308.01652977 -0.318833159684031
"14" 22 12 6308.01652977 -0.320636623846727
"15" 24 12 6308.01652977 -0.202922825654921
"16" 26 12 6308.01652977 -0.231315733870628
"17" 16 12 14200.90909281 -0.231253901543312
"18" 18 12 14200.90909281 -0.223489193533592
"19" 19 12 14200.90909281 -0.196273936442302
"20" 20 12 14200.90909281 -0.214495660983761
"21" 21 12 14200.90909281 -0.250427033095399
"22" 22 12 14200.90909281 -0.251846939047149
"23" 24 12 14200.90909281 -0.151716657029456
"24" 26 12 14200.90909281 -0.194312812404709
"25" 16 12 18567.19008513 -0.179758196087125
"26" 18 12 18567.19008513 -0.157224448145669
"27" 19 12 18567.19008513 -0.121962312500684
"28" 20 12 18567.19008513 -0.127581193351834
"29" 21 12 18567.19008513 -0.159168616450802
"30" 22 12 18567.19008513 -0.167846827956257
"31" 24 12 18567.19008513 -0.0641701648007649
"32" 26 12 18567.19008513 -0.118764228712815
"33" 16 12 21002.23140777 -0.199828020434643
"34" 18 12 21002.23140777 -0.196181726284859
"35" 19 12 21002.23140777 -0.166547256479569
"36" 20 12 21002.23140777 -0.179580146282165
"37" 21 12 21002.23140777 -0.221407284197848
"38" 22 12 21002.23140777 -0.22827272986568
"39" 24 12 21002.23140777 -0.11369017307602
"40" 26 12 21002.23140777 -0.1642694614688
"41" 16 12 24675.78512727 -0.186873199321009
"42" 18 12 24675.78512727 -0.170603387123249
"43" 19 12 24675.78512727 -0.137471525663043
"44" 20 12 24675.78512727 -0.154812779379938
"45" 21 12 24675.78512727 -0.191144131227926
"46" 22 12 24675.78512727 -0.203811575503615
"47" 24 12 24675.78512727 -0.0718018759696031
"48" 26 12 24675.78512727 -0.137631144287132
"49" 16 12 27089.83471437 -0.192482170813924
"50" 18 12 27089.83471437 -0.17167348016595
"51" 19 12 27089.83471437 -0.142184987487363
"52" 20 12 27089.83471437 -0.160331614370968
"53" 21 12 27089.83471437 -0.192405719123437
"54" 22 12 27089.83471437 -0.204104007980551
"55" 24 12 27089.83471437 -0.0685866134649991
"56" 26 12 27089.83471437 -0.136959318913656
"57" 16 12 29398.92562377 -0.200511297705978
"58" 18 12 29398.92562377 -0.182116386951897
"59" 19 12 29398.92562377 -0.152793346850187
"60" 20 12 29398.92562377 -0.178016072033158
"61" 21 12 29398.92562377 -0.210109445802504
"62" 22 12 29398.92562377 -0.219414974164426
"63" 24 12 29398.92562377 -0.0807387531617818
"64" 26 12 29398.92562377 -0.146148544675279
"65" 16 12 31498.09917777 -0.17965180143167
"66" 18 12 31498.09917777 -0.16327895415912
"67" 19 12 31498.09917777 -0.138214861167205
"68" 20 12 31498.09917777 -0.163118502842544
"69" 21 12 31498.09917777 -0.196772094038188
"70" 22 12 31498.09917777 -0.20902870768151
"71" 24 12 31498.09917777 -0.0633683675167287
"72" 26 12 31498.09917777 -0.138097753246029
"73" 16 12 33597.27273177 -0.197630590467452
"74" 18 12 33597.27273177 -0.185886996574034
"75" 19 12 33597.27273177 -0.16319454960359
"76" 20 12 33597.27273177 -0.191656911145068
"77" 21 12 33597.27273177 -0.216646107399132
"78" 22 12 33597.27273177 -0.226870960629726
"79" 24 12 33597.27273177 -0.0750946212517718
"80" 26 12 33597.27273177 -0.153189201231049
"81" 16 12 36179.25620319 -0.189774879982567
"82" 18 12 36179.25620319 -0.171267135300006
"83" 19 12 36179.25620319 -0.14477598398277
"84" 20 12 36179.25620319 -0.175849676626983
"85" 21 12 36179.25620319 -0.199762339102532
"86" 22 12 36179.25620319 -0.207743888209589
"87" 24 12 36179.25620319 -0.0623369796639713
"88" 26 12 36179.25620319 -0.153074945681286
"89" 16 12 38215.45455057 -0.161054642778093
"90" 18 12 38215.45455057 -0.140813512517449
"91" 19 12 38215.45455057 -0.12641487413331
"92" 20 12 38215.45455057 -0.153835950668328
"93" 21 12 38215.45455057 -0.168812537477654
"94" 22 12 38215.45455057 -0.181240110533648
"95" 24 12 38215.45455057 -0.0393621948934283
"96" 26 12 38215.45455057 -0.126011257645639
"97" 16 12 41259.25620387 -0.158591813918025
"98" 18 12 41259.25620387 -0.145788302101228
"99" 19 12 41259.25620387 -0.134317427370416
"100" 20 12 41259.25620387 -0.169913475414562
"101" 21 12 41259.25620387 -0.179520887007839
"102" 22 12 41259.25620387 -0.198009945940538
"103" 24 12 41259.25620387 -0.0641627332891232
"104" 26 12 41259.25620387 -0.127040334003225
"105" 16 12 42602.72727843 -0.200951424160142
"106" 18 12 42602.72727843 -0.195469179076619
"107" 19 12 42602.72727843 -0.19109639618743
"108" 20 12 42602.72727843 -0.228577462234477
"109" 21 12 42602.72727843 -0.232469105920789
"110" 22 12 42602.72727843 -0.254753823470035
"111" 24 12 42602.72727843 -0.110431342519161
"112" 26 12 42602.72727843 -0.169859136203248
"113" 16 12 46192.31405577 -0.173815140746752
"114" 18 12 46192.31405577 -0.162021809128027
"115" 19 12 46192.31405577 -0.158647338494856
"116" 20 12 46192.31405577 -0.199093192503443
"117" 21 12 46192.31405577 -0.215881518022908
"118" 22 12 46192.31405577 -0.239608174390156
"119" 24 12 46192.31405577 -0.111573355559438
"120" 26 12 46192.31405577 -0.158896993525668
"121" 16 12 49341.07438677 -0.145210111762359
"122" 18 12 49341.07438677 -0.126429316343273
