"AGEFSTM" "EDUCM" "INCOMED" "TAU"
"1" 16 12 0 -4001.08845630083
"2" 18 12 0 -1806.37159415579
"3" 19 12 0 -451.545156054216
"4" 20 12 0 399.868504346552
"5" 21 12 0 -221.244977138789
"6" 22 12 0 12.7746080475675
"7" 24 12 0 379.681529332267
"8" 26 12 0 559.524492068293
"9" 16 12 6308.01652977 -7796.84546225209
"10" 18 12 6308.01652977 -6402.7049875554
"11" 19 12 6308.01652977 -5960.65108555771
"12" 20 12 6308.01652977 -6232.2925088082
"13" 21 12 6308.01652977 -6928.88453220197
"14" 22 12 6308.01652977 -6430.25449461223
"15" 24 12 6308.01652977 -5666.52884909957
"16" 26 12 6308.01652977 -5330.89295698621
"17" 16 12 14200.90909281 -5079.92982774112
"18" 18 12 14200.90909281 -2989.96722807715
"19" 19 12 14200.90909281 -2566.29138348864
"20" 20 12 14200.90909281 -2341.28913364138
"21" 21 12 14200.90909281 -3080.0390125107
"22" 22 12 14200.90909281 -2746.37581206795
"23" 24 12 14200.90909281 -1936.24123476308
"24" 26 12 14200.90909281 -2323.84389729992
"25" 16 12 18567.19008513 -5118.61365458307
"26" 18 12 18567.19008513 -2728.80165104128
"27" 19 12 18567.19008513 -2084.16075059009
"28" 20 12 18567.19008513 -1558.95485441996
"29" 21 12 18567.19008513 -2336.88670985925
"30" 22 12 18567.19008513 -1993.37449315929
"31" 24 12 18567.19008513 -1068.27584152216
"32" 26 12 18567.19008513 -1804.48274139822
"33" 16 12 21002.23140777 -4963.26440902032
"34" 18 12 21002.23140777 -2868.66563118542
"35" 19 12 21002.23140777 -2274.17731294616
"36" 20 12 21002.23140777 -1694.73895989314
"37" 21 12 21002.23140777 -2427.59864094582
"38" 22 12 21002.23140777 -2096.56722307877
"39" 24 12 21002.23140777 -1153.21633271182
"40" 26 12 21002.23140777 -1710.52646851412
"41" 16 12 24675.78512727 -3545.42360636611
"42" 18 12 24675.78512727 -1518.95550634871
"43" 19 12 24675.78512727 -1003.51201246903
"44" 20 12 24675.78512727 -754.565607991374
"45" 21 12 24675.78512727 -1305.15565040179
"46" 22 12 24675.78512727 -886.280518682914
"47" 24 12 24675.78512727 501.45903663329
"48" 26 12 24675.78512727 -719.162181723974
"49" 16 12 27089.83471437 -4331.17445243661
"50" 18 12 27089.83471437 -2295.03037044871
"51" 19 12 27089.83471437 -1830.27231715121
"52" 20 12 27089.83471437 -1532.71913123588
"53" 21 12 27089.83471437 -2039.677424344
"54" 22 12 27089.83471437 -1697.15743660808
"55" 24 12 27089.83471437 -463.643735903662
"56" 26 12 27089.83471437 -977.834511590271
"57" 16 12 29398.92562377 -4567.48472655074
"58" 18 12 29398.92562377 -2617.61191629813
"59" 19 12 29398.92562377 -2340.84916268691
"60" 20 12 29398.92562377 -2153.69643128746
"61" 21 12 29398.92562377 -2623.12611448387
"62" 22 12 29398.92562377 -2117.93308694874
"63" 24 12 29398.92562377 -556.380987400091
"64" 26 12 29398.92562377 -1039.36345360931
"65" 16 12 31498.09917777 -3728.75969034015
"66" 18 12 31498.09917777 -1775.69488147383
"67" 19 12 31498.09917777 -1441.88912574194
"68" 20 12 31498.09917777 -1353.58467371729
"69" 21 12 31498.09917777 -1776.76079681407
