"outcome.test.score","treatment","school","is.female","mother.attended.secondary.school","father.attened.secondary.school","failed.at.least.one.school.year","family.receives.cash.transfer","has.computer.with.internet.at.home","is.unemployed","has.some.form.of.income","saves.money.for.future.purchases","intention.to.save.index","makes.list.of.expenses.every.month","negotiates.prices.or.payment.methods","financial.autonomy.index"
47.367374420166,0,17018390,NA,NA,NA,NA,NA,NA,1,1,0,29,0,1,52
58.1767578125,1,33002614,NA,NA,NA,NA,NA,NA,0,0,0,41,0,0,27
56.6716613769531,1,35002914,1,1,1,0,0,0,1,0,0,48,0,1,56
29.0793762207031,0,35908915,1,0,0,0,0,0,0,0,0,42,0,0,27
49.563533782959,1,33047324,1,0,0,0,0,1,0,1,0,50,0,1,31
43.0994338989258,0,53012542,1,0,0,0,1,1,0,1,0,93,0,1,77
71.3295974731445,0,53006984,1,1,0,0,0,1,1,1,0,52,0,1,43
80.0634384155273,0,33049475,1,1,1,0,0,0,0,1,0,50,0,0,31
88.7516326904297,1,35925639,1,1,0,0,0,0,0,0,0,59,0,1,50
61.4361381530762,1,35008758,1,0,0,0,0,1,1,1,0,44,0,1,14
63.8113861083984,1,35005307,1,0,0,0,0,1,0,0,1,NA,0,1,73
66.0134506225586,0,33024537,1,0,0,0,0,1,1,1,1,60,0,1,56
39.5818061828613,1,33075212,NA,NA,NA,NA,NA,NA,1,1,0,NA,0,1,60
64.2641143798828,1,53011520,1,0,0,1,0,0,0,0,0,47,0,1,46
66.0880661010742,1,33058679,1,0,1,0,0,0,0,0,0,53,0,0,NA
37.5405960083008,0,23100575,1,0,1,0,1,1,0,0,0,13,0,0,37
59.1920623779297,0,35011502,1,0,0,0,0,0,0,1,0,67,0,0,50
34.7023735046387,0,35044453,1,0,1,0,1,1,0,0,0,42,0,1,52
36.5031089782715,0,35012075,NA,NA,NA,NA,NA,NA,0,0,0,30,0,0,NA
54.4888725280762,1,33126267,1,0,0,1,1,0,0,1,0,31,0,1,46
51.4183120727539,1,35045160,1,1,1,1,1,0,0,1,0,41,0,1,37
59.4324645996094,1,31068543,1,0,0,1,0,1,0,0,0,42,0,1,69
70.1713714599609,1,17002648,1,1,0,0,1,1,1,1,1,46,0,1,77
61.695484161377,1,33019223,1,0,0,0,1,0,0,1,0,37,0,NA,14
66.9064331054688,0,31069191,1,0,0,0,0,1,1,1,0,34,0,1,37
50.3236694335938,1,33025576,1,0,0,0,0,1,0,1,0,NA,0,0,NA
65.6725006103516,1,23131802,1,0,0,0,1,1,1,0,0,53,0,1,24
78.4615707397461,1,35901805,1,1,1,0,0,0,0,1,0,18,0,1,60
27.8459987640381,1,33072310,1,0,0,1,1,1,1,1,1,47,0,0,65
34.9821472167969,0,35901118,1,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA
61.5356063842773,1,33106630,1,1,1,0,1,0,0,1,0,53,1,0,65
34.8575897216797,1,35012087,NA,NA,NA,NA,NA,NA,1,1,0,27,1,1,35
72.1811981201172,1,35011423,1,1,1,0,0,0,0,0,0,57,0,1,43
68.8034515380859,0,33029660,1,0,1,0,0,0,0,1,0,NA,0,1,54
47.7058944702148,0,35049499,1,0,0,0,0,1,0,1,0,22,0,0,33
67.0203552246094,1,31322539,1,1,0,0,0,1,0,1,0,60,0,1,58
71.289909362793,1,35004492,1,1,0,0,1,1,0,1,0,71,0,1,69
31.181432723999,1,35012087,NA,NA,NA,NA,NA,NA,0,0,0,44,0,1,24
78.8300476074219,0,35905008,1,1,1,0,0,0,1,1,0,50,0,1,71
71.8197326660156,0,35904958,NA,NA,NA,NA,NA,NA,1,1,0,36,0,1,16
47.0081787109375,0,17021553,1,1,1,0,0,0,0,1,0,NA,0,1,16
64.5128707885742,1,35901805,1,1,1,0,0,0,1,1,0,55,0,1,24
42.3870964050293,0,35008540,1,0,0,0,0,0,0,0,0,15,0,0,31
58.9792404174805,1,23070382,1,0,0,0,1,0,0,0,0,60,0,1,43
35.2164764404297,0,35019604,NA,NA,NA,NA,NA,NA,0,0,0,29,0,0,12
74.3725509643555,1,35001824,1,1,1,1,0,0,0,1,0,64,0,1,31
70.0728530883789,1,35012087,NA,NA,NA,NA,NA,NA,1,1,0,42,0,0,62
58.2406425476074,0,17007500,1,0,0,0,1,0,0,0,0,39,0,0,39
52.9484977722168,0,33093555,1,1,0,0,1,1,0,0,0,69,0,0,-7
65.9646301269531,0,33038724,1,1,1,0,0,0,0,1,0,39,0,1,-1
50.4243278503418,0,35012130,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,1,NA
64.651008605957,0,35008667,0,NA,NA,0,0,0,1,1,0,66,0,1,48
59.5073318481445,1,35037254,0,1,1,0,0,0,0,0,NA,65,0,NA,69
30.1046352386475,0,33027820,0,0,0,1,0,1,0,1,0,NA,0,1,22
53.6850128173828,0,35012130,NA,NA,NA,NA,NA,NA,1,1,1,96,1,1,92
51.8322410583496,1,33047324,0,0,1,0,0,0,1,0,0,76,NA,1,90
43.4651527404785,0,35012129,0,1,1,0,0,0,1,1,1,56,1,1,88
