"outcome.correct.ans.per.second","outcome.num.correct.ans","outcome.response.time","treatment","live.paycheck.by.paycheck","caloric.crunch","liquidity.constrained","financial.hardship","current.income","pay.day.amount.fraction.of.income","age","male","married","divorced","widowed","white","black","hispanic","working","unemployed","disabled","retired","household.size","household.head","children.in.household","metropolitan.area","household.income","education"
0.440976307481282,46,104.313994243223,1,0,0,0,0,1200,1,75,0,0,0,1,0,1,0,0,0,0,1,1,1,0,1,30000,1
0.646865404071515,48,74.2039993140417,1,1,1,1,1,1125,0.13,25,1,1,0,0,1,0,0,1,0,0,0,2,1,0,1,15000,4
0.431066101814194,47,109.032001825694,0,0,0,0,0,3500,0.6,40,0,0,0,0,1,0,0,1,0,0,0,2,1,0,1,30000,4
0.559658362942221,46,82.1930003121369,0,1,1,1,1,2242,1,33,0,1,0,0,1,0,0,0,0,1,0,3,1,1,1,25000,4
0.51129207385739,41,80.1889997837825,1,0,0,0,0,1800,0.5,23,0,1,0,0,1,0,0,1,0,0,0,2,1,0,1,35000,4
0.654760253848393,47,71.781999172605,0,0,0,0,0,360,0.5,25,0,1,0,0,1,0,0,0,0,0,0,2,1,0,1,30000,4
0.546336116505243,48,87.8580027017843,1,1,1,1,1,967,1,52,0,0,1,0,1,0,0,0,0,1,0,1,1,0,1,15000,3
0.642952006034273,46,71.5449980220576,0,1,1,1,1,1700,0.5,31,0,1,0,0,1,0,0,0,0,0,0,6,1,1,0,35000,2
0.405869787063527,45,110.872997779844,1,0,0,0,0,160,0.5,64,1,0,0,0,1,0,0,1,0,0,0,1,1,0,1,15000,4
0.447316087448687,45,100.60000358284,1,1,1,1,0,2130,1,69,0,1,0,0,1,0,0,0,0,0,1,1,1,0,1,35000,4
0.429891142896826,47,109.330003133561,1,1,1,0,0,2185,0.37,72,0,1,0,0,1,0,0,0,0,0,1,2,1,0,1,30000,3
0.0646788690765703,5,77.3050004025384,1,1,0,1,1,806,1,28,0,0,0,0,0,0,1,0,0,0,0,4,1,1,1,15000,2
0.460463804963832,47,102.070997749088,1,1,1,0,0,2065,1,72,0,1,0,0,1,0,0,0,0,0,1,2,1,0,1,35000,3
0.366941395156686,39,106.284002063454,0,1,1,1,1,1600,1,72,0,0,0,1,1,0,0,0,0,0,1,1,1,0,1,10000,3
0.422996303558944,46,108.747995225897,0,0,1,0,0,598,0.5,33,0,0,0,0,1,0,0,1,0,0,0,2,1,1,0,10000,3
0.431460163428845,45,104.296998458402,0,0,0,0,0,2620,0.42,66,1,0,1,0,1,0,0,0,0,0,1,3,1,0,1,35000,2
0.49584857573618,47,94.7870021209997,1,1,1,1,1,1228,1,66,0,0,1,0,1,0,0,0,0,0,1,1,1,0,1,15000,3
0.488875387115548,45,92.0479966592468,0,0,0,1,1,500,0.5,42,0,0,1,0,0,1,0,0,1,0,0,4,0,0,1,10000,1
0.47364432798832,45,95.0079993380807,0,0,0,0,0,1500,0.5,24,0,0,1,0,1,0,0,1,0,0,0,2,1,0,0,40000,4
0.738216020469262,47,63.6670008463424,0,1,1,1,0,1820,0.5,26,0,0,0,0,0,0,0,1,0,0,0,5,0,1,1,25000,4
0.637520192149574,45,70.5859995559829,0,0,0,1,1,500,1,27,0,1,0,0,0,0,1,0,0,0,0,4,1,1,1,10000,4
0.689605663111556,48,69.6049968374972,1,0,0,0,1,2112,0.5,24,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,20000,4
0.597713091093091,46,76.9600008523751,0,1,0,1,1,817,0.19,23,0,0,0,0,0,1,0,0,1,0,0,2,0,0,1,15000,3
0.576658829544647,47,81.5039978441205,0,1,0,1,1,960,0.5,24,0,0,0,0,0,0,0,1,0,0,0,4,0,0,1,25000,3
0.289783370136928,41,141.484999572704,1,0,1,1,0,525,1,74,0,0,1,0,1,0,0,0,0,0,1,1,1,0,1,15000,3
0.364282123095849,48,131.7660048538,1,1,1,1,1,864,1,61,1,0,1,0,1,0,0,0,0,1,0,1,1,0,1,15000,3
0.451335927711029,45,99.7040059013684,0,0,0,1,1,1190,0.5,55,0,0,1,0,1,0,0,1,0,0,0,1,1,0,1,25000,3
0.532179897624538,47,88.3160003032645,1,0,0,1,1,1214,1,77,0,0,0,1,0,0,1,0,0,0,1,1,1,0,1,20000,3
0.910968050597106,45,49.3980002597283,1,1,1,1,1,1312,1,29,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,25000,3
0.53427913359967,47,87.9689979343581,1,1,1,1,0,1132,1,60,0,0,1,0,1,0,0,0,0,1,0,1,1,0,1,15000,3
0.437997314677616,42,95.8909988544421,1,1,0,0,0,550,1,25,0,1,0,0,0,1,0,0,1,0,0,9,1,1,1,25000,2
0.311416952735095,31,99.5449982017194,1,1,1,0,1,13000,0.08,26,1,1,0,0,0,0,1,1,0,0,0,1,0,0,1,35000,2
0.49371416168307,41,83.0440023438483,0,1,1,1,0,800,0.5,26,0,0,0,0,1,0,0,0,0,0,0,2,1,1,1,15000,3
0.554541447174998,48,86.558002552427,1,0,1,1,0,1350,1,23,1,1,0,0,0,0,1,0,1,0,0,2,0,0,0,30000,3
0.596258487455571,48,80.5019987301676,0,1,0,1,0,2600,0.5,32,0,1,0,0,1,0,0,0,0,0,0,5,1,1,1,40000,4
0.432432441170068,46,106.37499785061,1,0,0,0,0,4300,1,75,1,0,0,1,0,1,0,0,0,0,1,1,1,0,1,40000,3
0.426687018234935,47,110.150995908954,1,1,1,1,1,1300,0.5,41,0,0,0,0,1,0,0,1,0,0,0,2,0,1,1,30000,4
0.433826661464633,44,101.422996575297,1,1,1,0,0,14045,0.09,81,0,0,0,1,1,0,0,0,0,0,1,1,1,0,1,40000,3
0.475358735182325,43,90.4579990173259,1,0,0,0,0,1065,0.95,64,0,0,0,1,1,0,0,0,0,0,1,1,1,0,1,20000,2
0.808638943132279,48,59.3590012052487,1,0,1,1,0,3000,0.5,23,1,0,0,0,0,0,0,1,0,0,0,3,0,1,1,25000,4
0.429176854835367,48,111.842005129594,1,0,0,0,0,2616,0.31,64,0,1,0,0,1,0,0,0,0,0,1,2,1,1,1,10000,2
0.55417994851092,47,84.8099974138164,0,0,0,0,0,1288,1,64,1,0,0,0,1,0,0,0,0,0,1,1,1,0,1,35000,4
0.391716046611517,46,117.432003099991,1,1,1,1,1,1047,1,43,0,0,1,0,0,1,0,0,0,1,0,4,1,1,1,30000,2
0.394924812169195,47,119.009995198438,0,0,0,0,1,200,1,57,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,25000,4
0.535136869705388,47,87.8279981453626,0,1,1,0,0,1000,0.5,57,0,1,0,0,1,0,0,1,0,0,0,2,1,0,0,40000,3
0.630119723096074,48,76.1759999578389,0,1,1,0,0,1806,0.5,49,0,0,1,0,1,0,0,1,0,0,0,2,1,1,1,35000,3
0.415892660110395,45,108.200995872481,1,0,0,0,0,2181,0.91,75,1,1,0,0,1,0,0,0,0,0,1,2,1,0,0,40000,2
0.729239454949349,48,65.8220008177341,1,1,0,0,1,910,0.5,34,0,1,0,0,1,0,0,1,0,0,0,4,1,1,1,15000,3
0.381739583538807,46,120.500995923897,0,1,0,0,0,2444,0.47,76,0,0,0,1,1,0,0,0,0,0,1,1,1,0,1,30000,3
0.574111405378423,45,78.3819996927921,1,0,0,0,0,2200,0.5,38,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,20000,4
